caption,ownerFullName,ownerUsername,url,commentsCount,firstComment,likesCount,timestamp,queryTag
"Presidente Petro, ¿pa’ cuándo pues?

La Ley Contra el Ruido ya fue aprobada en el Congreso, pero aún falta la firma del presidente para que se haga realidad. Sin sanción presidencial, la Ley no puede entrar en funcionamiento.

Necesitamos su firma, presidente. Esta Ley protegerá el bienestar de millones de colombianos y reducirá el impacto del ruido en nuestras ciudades. 

#LeyContraElRuidoYA #Congreso #Politica",Daniel Carvalho,davalho,https://www.instagram.com/p/DF_qWVORZYz/,227,las nuevas juvinao Miranda los jp,852,2025-02-13T01:34:35.000Z,
"¡Ya no hay excusas! Con la #LeycontraelRuido, la @policiadecolombia ahora tiene la autoridad para actuar frente a personas o establecimientos ruidosos. Esta ley se enfoca en educar, prevenir y sancionar.

Actualmente, la Policía Nacional se encuentra en un proceso pedagógico para entender la ley para hacerla cumplir de manera adecuada. Por eso, como ciudadanía, es fundamental que empecemos a exigir su cumplimiento. 

¿Tienes una historia de ruido que contar? ¡Cuéntanos en los comentarios!",Daniel Carvalho,davalho,https://www.instagram.com/p/DISHukfvJgk/,185,En Pasto no la quieren aplicar! Ponen las mil excusas,2715,2025-04-10T22:39:42.000Z,
"Por fin ha sido sancionada por el presidente Petro la Ley contra el Ruido 🚨

Ahora tendremos reglas claras para reducir la contaminación acústica y lograr ciudades más serenas. Esto apenas empieza y estaremos acompañando su implementación efectiva en todo el país. 

Aquí junto @camiloeldeambiente les contamos qué sigue. 

Gracias a todos los que hicieron esto posible, esto apenas empieza.",Daniel Carvalho,davalho,https://www.instagram.com/p/DG3LgR1R9qH/,181,"Excelente, qué hacer si no se obtiene apoyo y gestión inmediata del cuadrante de la policía nacional?",1199,2025-03-06T15:04:58.000Z,
"Medellín sí necesita modernizar sus escenarios deportivos, pero el “Mar Medellín” no es prioridad. No está en el Plan de Desarrollo ni en el POT, no tiene estudios ni debate público. ¿Cuánto costará su mantenimiento? ¿Quién lo va a administrar?

Cada peso que vaya a ese mar artificial es un peso menos para lo verdaderamente urgente: vivienda, seguridad, cultura, parques, soberanía alimentaria, ambiente, quebradas…

Hoy lo que necesitamos no es un “mar”, sino reverdecer la ciudad y adaptarla a los climas extremos de lluvia y calor que ya estamos viviendo.

👉 ¿Cuáles crees que son las otras necesidades y urgencias de Medellín?",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DNskKUUXNU1/,158,"Pienso igual Camilo, prioridades y estudios.",827,2025-08-23T11:56:55.000Z,
"La Ley contra el Ruido fue aprobada en el Congreso de la República, un mensaje de Navidad para todos los colombianos. Esta iniciativa busca mejorar la tranquilidad y el bienestar en el país a través de la pedagogía, la prevención, la sensibilización, el control y la sanción.

¿Y qué pasa si tienes vecinos ruidosos?

	•	Contarás con herramientas legales efectivas para denunciar y una ruta clara de atención.

	•	Se implementará un sistema de mediación que priorice la convivencia.

	•	En casos graves y reincidentes, se aplicarán sanciones contundentes.

Aquí les cuento más sobre esta importante Ley. #LeyContraElRuidoYA",Daniel Carvalho,davalho,https://www.instagram.com/p/DDqSB3jR2rs/,158,"Todos los efectos que el ruido hace sobre la salud. Yo viví por 5 largos meses sin descanso música a todo volumen, en Tolú Sucre la policía me tildo de lo ay nunca me ayudo. Hoy en día sigo con los efectos de esa situación más los efectos en mi salud en general. La"" sanción ""debería ser aplicada inmediatamente con los causantes del ruido. Y sancionar el personal de los cuadrantes de Policía que no actúan adecuadamente según la ley.",2119,2024-12-17T01:14:31.000Z,
"Lo que empezó como solidaridad con Palestina terminó en vergüenza. Vandalismo, agresiones y un concejal provocador con un bate detrás del ESMAD.

Rechazamos de manera categórica los actos de violencia liderados por funcionarios de la @alcaldiademed y por algunos manifestantes encapuchados. 

Ni piedras, ni golpes, ni bates.
Medellín merece respeto, humanidad y sensatez.",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DPkmwCngA9t/,131,Ahora es donde se comienza.saldremos.a.defender la ciudad con bate en mano haci no les guste,603,2025-10-09T02:42:39.000Z,
"En todo el país, distintas entidades ya han empezado a implementar la #LeyContraElRuido. 

Aunque aún quedan muchos retos para garantizar su cumplimiento pleno, los avances logrados en tan poco tiempo resultan alentadores. 

Te compartimos un breve recuento de hechos en los que nuestra ley ha comenzado a hacer la diferencia en diferentes municipios. 

¿Cuéntanos si nos faltó incluir alguna? 👇🏽",Daniel Carvalho,davalho,https://www.instagram.com/p/DLZ5w8WMv-t/,124,"El petrista que dejó de ser petrosta. Así es muy duro creerle a este tipo de Politos, y siempre hacen campaña para elecciones lo que no hicieron en 3 años y medio bla bla bla 😂😂😂",610,2025-06-27T12:59:11.000Z,
"Dicen que hay 12 signos del zodiaco… y al parecer, Daniel Quintero tiene por lo menos un escándalo para cada uno

¿Cuál será el tuyo?

Ayúdanos a contarle a Colombia lo que Quintero le hizo a Medellín. 

Comparte o etiqueta a tu amigo que no conoce sobre su corrupta gestión en nuestra ciudad.",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DPhdRvfkg-4/,121,Jajajajjajsjajd nooo😂,3566,2025-10-07T21:16:22.000Z,
"Serie Árboles de Medellín 
Capítulo 1: Los más cuchos

Medellín ha cambiado con los años y unos habitantes silenciosos han sido testigos de toda esa transformación: sus árboles. Conoce algunos de los más cuchos, aquellos que, por su importancia cultural y natural o por su longevidad, hoy son árboles patrimoniales de la ciudad.

¿Ya conocías alguno? Cuéntanos en los comentarios cuál has visto o cuál te gustaría visitar 🌳

#ÁrbolesdeMedellín",Daniel Carvalho,davalho,https://www.instagram.com/p/DI60pE6PUUm/,112,❤️❤️❤️,3644,2025-04-26T18:03:13.000Z,
"Estos árboles siguen en pie porque nos paramos a defenderlos 💚🌳

La llegada de Metroplús a Envigado amenazaba con desaparecer el Túnel Verde, un corredor ecológico muy importante para la comunidad. Nos organizamos, alzamos la voz y logramos el rediseño de la obra para protegerlo.

Hoy, aunque la obra terminó hace años, el sistema de transporte aún no entra en funcionamiento, evidenciando graves fallas en la ejecución de Metroplús.

Desde el Congreso de la República seguiré defendiendo a Antioquia y su naturaleza urbana.

Mira la cara de Galán y vota 111 a la Cámara por el Nuevo Liberalismo ❤️

 #camideambiente #túnelverde #envigado",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DTs_Zf6jcyf/,110,"Estas con el Mira, Gas",1858,2026-01-19T18:52:14.000Z,
"EnCicla fue el primer sistema de bicicletas públicas de Colombia y hoy está en crisis. 

Defender a Medellín y al Valle de Aburrá es trabajar para que este sistema de transporte sostenible regrese con más fuerza. Ese será mi compromiso desde el Congreso de la República.

🗳️ Mira la cara de Galán y vota 111 por el Nuevo Liberalismo 💙

#EnCicla #Camideambiente #Medellín #Antioquia #MovilidadSostenible NuevoLiberalismo",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DUvqBaKDggd/,101,Otro fico de temu payaso,2301,2026-02-14T16:14:39.000Z,
"Prometen todo. Ejecutan poco.
Y a Antioquia le salen debiendo.

El Toyo, el Metro de la 80, el aeropuerto… esto no es un favor, es compromiso.

A Antioquia no se le dice “después vemos”. Se le cumple.

🗳️ Mira la cara de Galán y vota 111 por el Nuevo Liberalismo 💙

#Antioquia #111ALaCámara #Infraestructura #Medellín #NuevoLiberalismo",Daniel Carvalho,davalho,https://www.instagram.com/p/DU1nbcuj8Vh/,100,Cómplice payaso 🤡,1004,2026-02-16T23:52:13.000Z,
"Amigo motero, no estamos en contra de ti, sino de las modificaciones que aumentan innecesariamente el ruido. Por eso, queremos compartir contigo algunos mitos comunes sobre las motos ruidosas.

¿Conoces a alguien que necesita ver esto? Etiquétalo, comenta tu experiencia y comparte para que más personas se sumen a una movilidad menos ruidosa. #leycontraelruido",Daniel Carvalho,davalho,https://www.instagram.com/p/DJFWqX4PAh9/,99,Q VIVA las motos de alto cilindraje a los aburrido,309,2025-04-30T20:13:46.000Z,
"Conocimos la nueva aerolínea @tukairlines , una iniciativa de @mauriciofacio_ que le muestra a los turistas lo maravillosa que es Medellín a través de un vuelo de realidad aumentada sobre la ciudad.

Tuk Airlines apuesta por atraer mejores turistas: personas interesadas en conocer la Medellín real, no la versión que a veces se ve en Netflix.

Junto a @davalho , trabajé en el Congreso por la Ley de Turismo Responsable, una iniciativa que busca impulsar proyectos como este, para que el turismo crezca de manera ordenada, genere oportunidades y respete a nuestras comunidades locales.

Si quieres un turismo responsable mira la cara de Galán y vota 111 Nuevo Liberalismo ❤️",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DUGN5sWjfAN/,99,👏yooooquiero esa experiencia 😮,2806,2026-01-29T14:00:08.000Z,
"Los vecinos de Belén Los Alpes no aguantan más 🚫🔊

Hemos recibido múltiples quejas desde este barrio de Medellín por el ruido constante de establecimientos nocturnos que afectan la serenidad, la salud y el descanso de muchas familias.

La Ley Contra el Ruido es un avance para enfrentar esta problemática, pero hoy necesita un defensor que la haga cumplir desde el Congreso de la República. Ese soy yo. 

Por eso, mira a la cara de Galán y vota 111 a la Cámara por el Nuevo Liberalismo ❤️

Si tú también tienes un vecino ruidoso o un establecimiento que no te deja vivir en paz, escríbeme. Quiero conocer tu caso:

📥camiloeldeambiente@gmail.com
Seguiré defendiendo tu derecho a la serenidad",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DTp3_xCj5pG/,89,"Adelante, no sólo es el vecino, la 33a en Laureles es una pista de los hijos de papi , con motociclistas ruidosa y ni un solo agente de tránsito ni policía , quien nos ayuda ?",671,2026-01-18T13:50:01.000Z,
"¿Conocías los bosques verticales? 

Medellín sigue innovando y esta vez con biodiversidad.
Los bosques verticales están transformando poco a poco la ciudad: edificios cubiertos de árboles que refrescan el ambiente, mejoran la calidad del aire, reducen el ruido y llenan de vida el paisaje urbano.

✅ Con la Ley de Ciudades Verdes, este tipo de iniciativas llegarán a más sectores, permitiendo que la naturaleza esté en el centro del desarrollo urbano. 

Gracias @forestpa_sas por este trabajo tan maravilloso. 

¿Cuéntanos qué te parece este tipo de iniciativas? 

#LeydeCiudadesVerdes",Daniel Carvalho,davalho,https://www.instagram.com/p/DKHd_7LxFyu/,84,"@camiloeldeambiente  @camiloeldeambiente Buen día, por interno ya le envié toda la información de nuestro pequeño pulmón Verde a punto de perder (información que ya le envié a @davalho) urge  hacer cumplir #leydeciudadesverdes ya!!!",2951,2025-05-26T12:39:40.000Z,
"Ya lo vivimos en Medellín: corrupción, improvisación, mentira y saqueo de lo público. Eso es lo que representa Daniel Quintero. Y si ya se robó una ciudad, ¿qué pasaría en todo Colombia? Mucho ojo con pinturita.",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DOw6YpICej6/,80,Y todos los Petristas ❌❌❌💀💀💀,1051,2025-09-19T00:50:11.000Z,
"Esto no era solo ruido. Era abuso, corrupción y una comunidad pagando las consecuencias.

Cuando la ley se pone del lado de la gente, los negocios montados a las malas se caen. Y cuando la ciudadanía se organiza y no se queda callada, pasan estas cosas.

Así es como se defiende Antioquia: con ley, con comunidad y sin miedo a incomodar al poder. 🤝♥️

#camideambiente #leycontraelruido #antioquia #vota111",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DUiqKMpDsJ8/,80,"¿Pero esa ley si está aplicando? Porque en Medellín eso es fiesta a cualquier hora, especialmente en diciembre, las motos a mil en la madrugada, donde vivo hasta hacen piques y la policía nunca llega y así sucesivamente...",928,2026-02-09T15:07:55.000Z,
"Ya no hay excusas.
La Ley contra el Ruido existe y da las herramientas para actuar.

La tranquilidad no es un favor, es un derecho
y hay que hacerlo cumplir en la calle y con la gente.

🗳️ Vota el 111 por el Nuevo Liberalismo  para continuar con el control político a la policía para que actúe frente a las quejas por ruido en Antioquia.

#LeyContraElRuido #Tranquilidad #Antioquia #Medellín",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DUnj2qRjloA/,72,"Ha sido fácil?, para la policía que nunca aparece cuando los llaman.",388,2026-02-11T12:47:47.000Z,
"La Ley Contra el Ruido y la Ley de Ciudades Verdes son una realidad gracias a la tenacidad de @camideambiente. 🏛️🌿

Hoy despido a un gran coequipero que me ha acompañado desde el Concejo de Medellín hasta el Congreso. Su rigor y compromiso fueron claves en nuestra agenda ambiental estos cuatro años.

¡Gracias, Cami! Sé que seguirás cuidando a Antioquia y defendiendo la sostenibilidad donde quiera que vayas. 

¡Hasta pronto! 👋",Daniel Carvalho,davalho,https://www.instagram.com/p/DRuhg-JEVdq/,71,👏👏,1340,2025-12-01T16:07:12.000Z,
"Nos reunimos con altos mandos de la @policiadecolombia para hablar sobre la Ley contra el Ruido como una herramienta pedagógica, de control y sanción. 

La Policía es clave para hacer cumplir la Ley, pero no puede actuar sola. Se necesita el trabajo de alcaldías y jueces.

Celebramos su compromiso y seguiremos trabajando juntos para que el ruido tenga control y sanción en todo el país. 

#Leycontraelruido",Daniel Carvalho,davalho,https://www.instagram.com/p/DKAHxGGR9E4/,68,"Por favor, por favor ayudenme si ustedes vieran como nos encontramos mis hijos y yo la policia no hace nada. Antes nos tratan como si los delincuentes fueramos nosotros se los suplico ayudenme son las 4:30 no hemos podido dormir. Ayudenme ayudenme ayudenme",399,2025-05-23T15:57:58.000Z,
"🚨El río Medellín se desbordó mientras Fico habla de construir un mar.

Esto puso en riesgo la vida de miles de personas y colapsó la movilidad de la ciudad.

Medellín no necesita proyectos distractores. Necesita invertir en cuidar sus quebradas, su río y aplicar soluciones basadas en la naturaleza, fortaleciendo la infraestructura para que las inundaciones no se repitan con cada aguacero.

Eso fue lo que propusimos con la Ley de Ciudades Verdes, junto a @davalho.

Hoy Medellín no necesita un mar: necesita cumplir la Ley y proteger sus quebradas, su territorio y su gente.

#Camideambiente #aguacero #Medellín",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DUEkrEBiWY4/,68,Usted lo que necesita es una clase de Hidrología,1318,2026-01-28T22:41:46.000Z,
"Si hoy existen la Ley contra el Ruido, la Ley de Ciudades Verdes y la Ley de Canasta Básica Cultural, es gracias también al trabajo de mi equipo. Mención especial a @camiloeldeambiente y @danielup_. 

Y no paramos: ya avanzamos en Turismo Responsable, Súbeles a Ellas, Obras por Impuestos y Licenciamiento Responsable.

El trabajo en equipo funciona. Y lo estamos demostrando.",Daniel Carvalho,davalho,https://www.instagram.com/p/DRCbRZlkbik/,64,Quienes trabajan?,605,2025-11-14T13:32:39.000Z,
"Gracias al liderazgo de @camiloeldeambiente, logramos aprobar la Ley de Ciudades Verdes en el Congreso, una iniciativa clave para transformar nuestras ciudades en espacios más sostenibles y biodiversos. Naturalizar nuestras ciudades nos traerá enormes beneficios: soberanía alimentaria, mejor calidad del aire, menos ruido, menos calor y menor riesgo de inundaciones. En resumen, ¡ciudades más vivas y habitables para todos! 

Además, la Ley de Ciudades Verdes y la Ley contra el Ruido son complementarias, ya que ambas contribuyen a mejorar las condiciones de vida de las personas. Su materialización refleja el trabajo riguroso y comprometido de todo nuestro equipo para construir ciudades más habitables.

Seguimos trabajando para que estas transformaciones se hagan realidad. ¡Vamos con toda! 🌳🔇💚

#LeydeCiudadesVerdes",Daniel Carvalho,davalho,https://www.instagram.com/p/DIAS01fPgps/,61,"Por favor @davalho Hoy siguen con el cerramiento. La Ley de Ciudades Verdes aplica al 100%. Se deben tomar acciones urgentes. Esto puede llevar incluso a enviar a la cárcel a quienes están utilizando acciones legales para hacer jugadas ilegales. La CARDER no está actuando como garante de protección.
Ya le envié dos fotos más por interno. También le escribí a su compañero de equipo, pero aún no responde.
Urge su atención. Urge pronto. Gracias. @davalho @camiloeldeambiente",648,2025-04-04T00:44:57.000Z,
"El “negocio redondo” del lote Aguas Vivas era corrupción. La Fiscalía acusó a Daniel Quintero, 12 exfuncionarios y 3 particulares por peculado, prevaricato e interés indebido en contratos. ¡La justicia se respeta!",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DOqsCXmDqoj/,56,❤️❤️❤️❤️❤️❤️❤️😂😂😂😂,1167,2025-09-16T14:49:41.000Z,
"Nos reunimos con actores culturales de la ciudad para conversar sobre nuestra forma de hacer política: antes desde el Concejo de Medellín, hoy como Representantes y con la mirada puesta en lo que viene en el próximo Congreso.

Creemos en los sueños que se construyen colectivamente y en la defensa de los recursos públicos.

Mira la cara de Galán y vota 111 a la Cámara. 🗳️💜

#camideambiente #Vota111 #Antioquia",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DUjrpFIiajR/,56,Este personaje me recuerda a pintura. No se por que!,1045,2026-02-10T00:38:48.000Z,
"¡Vamos a llevar la #LeyContraElRuido a diferentes zonas de Medellín y Antioquia!

Muy pronto iniciaremos el #TourContraElRuido, una estrategia para acompañar a los municipios en la implementación efectiva de esta nueva norma.

Queremos trabajar de la mano con alcaldías, concejos municipales, la policía y comunidades para construir acuerdos y acciones concretas que nos ayuden a reducir el ruido excesivo.

Si crees que tu municipio necesita apoyo para abordar esta problemática, postúlalo y hagamos equipo para garantizar el derecho a un entorno más tranquilo y saludable.

Ingresa en el link de la bio o copia este enlace: bit.ly/tourcontraelruido",Daniel Carvalho,davalho,https://www.instagram.com/p/DLsKi0pxCpi/,56,No contestan los correos,256,2025-07-04T15:06:13.000Z,
"Visitamos el @cfau_centrodeformacion en Medellín junto a @camiloeldeambiente y @danielduquevel, un espacio donde la ciudad y el campo se encuentran. Aquí, entre plantas, conocimientos y comunidad, aprendimos cómo la agricultura urbana puede transformar vidas. 

En Medellín, los proyectos que conectan a la gente con la tierra son clave para un futuro más sostenible. ¿Sabías que en pleno entorno urbano se puede sembrar, cosechar y aprender sobre el campo? ¡El CFAU lo demuestra cada día! 🌱💚",Daniel Carvalho,davalho,https://www.instagram.com/p/DHGugSUx7WB/,55,"Siguen con el cerramiento. La Ley de Ciudades Verdes aplica al 100%. Se deben tomar acciones urgentes. Esto puede llevar incluso a enviar a la cárcel a quienes están utilizando acciones legales para hacer jugadas ilegales. La CARDER no está actuando como garante de protección.
Ya le envié dos fotos más por interno. También le escribí a su compañero de equipo, pero aún no responde.
Urge su atención. Urge pronto. Gracias. @davalho @camiloeldeambiente",640,2025-03-12T16:38:43.000Z,
"Serie: Árboles de Medellín
Capítulo 2: Los más pispos

Entre la gran diversidad de especies que conforman el arbolado urbano de Medellín, hay algunas que se destacan por sus flores, colores o texturas. También porque evocan recuerdos, historias o personas especiales.

Por eso, hoy te presentamos algunos de los árboles más bellos de la ciudad.

¿Y tú, cuál agregarías a esta lista? 

#árbolesdemedellín #leydeciudadesverdes",Daniel Carvalho,davalho,https://www.instagram.com/p/DJre4QHxC4Z/,51,Campestre D lo están asesinando y no hacen nada,875,2025-05-15T15:40:56.000Z,
"¡Nos preguntan mucho sobre la Ley contra el Ruido!

Esta ley busca proteger la convivencia y prevenir conflictos entre las personas. Aquí te respondemos las preguntas más comunes que recibimos.

Recuerda: su efectividad depende también de la pedagogía de las personas y las autoridades, para aplicar correctamente las herramientas que la ley ofrece en temas de control y sanción.

¿Tienes más dudas? ¡Déjalas en los comentarios! 👇🏽 #LeycontraelRuido",Daniel Carvalho,davalho,https://www.instagram.com/p/DI_XsZuxUNP/,51,"Lamentablemente no sirve para nada. @alcaldiachapinero @camiloeldeambiente @davalho llevamos más de dos años pidiendo apoyo y no cambia nada. Da mucha impotencia que se pasen por encima la ley, a la policía y a los vecinos. Y nadie hace nada.",258,2025-04-28T12:31:30.000Z,
"¡Iniciamos el #TourContraElRuido en Antioquia!

Nuestro objetivo es promover el cumplimiento de la #LeyContraElRuido en el departamento.

Sabemos que esta es una problemática compleja y que, por ser una norma nueva, muchas instituciones aún están en proceso de entenderla y aplicarla de forma efectiva. Por eso, queremos llegar a tu municipio con alcaldías, concejos municipales, la Policía y otros actores clave, para construir de manera conjunta una ruta de compromisos que nos permita reducir las afectaciones por ruido.

Recuerda: este no es solo un tema ambiental, también es un asunto de convivencia y salud pública.

Cuéntanos en los comentarios a qué municipio de Antioquia te gustaría que llegáramos y diligencia la solicitud en el enlace de la bio.",Daniel Carvalho,davalho,https://www.instagram.com/p/DLIaouwv1TA/,49,Por favor a Santa Fe de Antioquia.,261,2025-06-20T17:46:42.000Z,
"Es momento de apoyar el proyecto de Ley contra el Ruido en Colombia. ¡Menos contaminación acústica y más calidad de vida! 🌿🔇 

Únete a la movilización digital usando en redes sociales #LeyContraElRuidoYa

Necesitamos de tu apoyo para que pronto sea Ley de la República.

#Ruido #Colombia #Politica",Daniel Carvalho,davalho,https://www.instagram.com/p/DCEwG5bRcCG/,49,Sirve para una iglesia cristiana que hace ruido extremo,718,2024-11-07T14:57:47.000Z,
"Empiezo el reto más grande de mi vida. ¡Hoy inscribí mi nombre para la Cámara de Representantes para seguir defendiendo a Antioquia! 

Por la serenidad, por la biodiversidad, por el arte y la cultura, por el turismo responsable y el cuidado de la naturaleza y los animales. 

Me inspira y emociona la idea de seguir cuidando a Antioquia en el Congreso de la República. Lo haré con alegría, con serenidad y con firmeza. 

¡Acompáñenme en esta aventura! 

Y vayan aprendiéndose este número: 111 por el Nuevo Liberalismo ♥️🪻",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DRyDLTyCap6/,49,"Muchos Éxitos, Camilo; acá siempre tendrás una mano, un buen consejo y un apoyo. Saludos 🫂.",482,2025-12-03T00:59:21.000Z,
